# Score-readout lit-pixel series from assets/reference/skill3-video-tube.mp4, written by
#
#     python3 tools/video/score_windows.py --video --csv
#
# One row per video frame at 30 fps. lit_pixels is the count of pixels in the
# digit box (177, 208, 166, 220) whose cyan excess min(G,B)-R exceeds 45,
# after the box is placed by matching the readout's own SCORE label. lit = 1
# when lit_pixels >= 40, the floor the digits must clear before any
# reading is taken off them - the fabricated row this tool exists to prevent
# was read off a frame with 0.
# peak_luma is the brightest pixel in the same box, 0.299R+0.587G+0.114B. It is
# reported and never corrected: >= 240 means the panel is clipped and
# the digits on it may not be what the readout was showing.
frame,lit_pixels,lit,peak_luma
0,0,0,191.5
1,0,0,187.5
2,0,0,196.5
3,0,0,195.5
4,0,0,187.5
5,32,0,190.9
6,363,1,207.9
7,568,1,206.0
8,680,1,209.9
9,754,1,216.1
10,922,1,221.5
11,1010,1,225.7
12,1136,1,239.2
13,1414,1,238.9
14,1429,1,241.5
15,1455,1,241.8
16,1520,1,246.3
17,1536,1,245.7
18,1502,1,247.0
19,1530,1,246.4
20,1557,1,247.2
21,1483,1,251.1
22,1485,1,250.5
23,1524,1,246.0
24,1518,1,248.7
25,1502,1,246.6
26,1506,1,246.4
27,1484,1,246.1
28,1454,1,252.6
29,1503,1,248.2
30,1519,1,247.2
31,1470,1,246.9
32,1430,1,249.9
33,1477,1,247.2
34,1448,1,247.2
35,1486,1,247.5
36,1465,1,247.5
37,1487,1,252.9
38,1463,1,252.9
39,1486,1,247.2
40,1475,1,246.9
41,1505,1,246.3
42,1492,1,246.0
43,1487,1,245.7
44,1496,1,246.9
45,1496,1,246.0
46,1419,1,245.7
47,1459,1,245.7
48,1512,1,248.4
49,1481,1,247.8
50,1178,1,246.6
51,1534,1,251.7
52,1496,1,248.2
53,1523,1,248.7
54,1147,1,249.9
55,1505,1,248.8
56,1325,1,248.5
57,1350,1,248.7
58,1346,1,248.7
59,1422,1,248.4
60,1439,1,248.8
61,1456,1,249.9
62,1490,1,249.9
63,1502,1,248.4
64,1491,1,249.3
65,1455,1,249.3
66,1474,1,247.5
67,1439,1,250.5
68,1450,1,250.5
69,1510,1,248.4
70,1460,1,248.4
71,1496,1,248.7
72,1502,1,247.5
73,1462,1,245.1
74,1482,1,246.6
75,1486,1,245.4
76,1517,1,246.4
77,1423,1,243.3
78,1463,1,245.7
79,1502,1,243.6
80,1522,1,246.3
81,1423,1,246.6
82,1438,1,244.8
83,1493,1,244.9
84,1491,1,244.9
85,1424,1,244.8
86,1418,1,254.4
87,1397,1,254.1
88,1454,1,247.5
89,1444,1,246.4
90,1218,1,254.1
91,1279,1,253.5
92,1310,1,254.7
93,1414,1,252.9
94,1423,1,252.9
95,1439,1,251.1
96,1414,1,252.9
97,1412,1,253.5
98,1422,1,254.4
99,1413,1,254.4
100,1420,1,255.0
101,1398,1,255.0
102,1425,1,254.4
103,1442,1,253.5
104,1414,1,240.0
105,1412,1,239.2
106,1404,1,240.6
107,1470,1,251.1
108,1414,1,254.4
109,1182,1,246.0
110,1176,1,249.9
111,1123,1,248.1
112,1132,1,247.8
113,1102,1,246.0
114,1152,1,249.9
115,1168,1,247.8
